Season,TeamName,Size,HgtEff,Exp,Bench
2021,Abilene Christian,75.1,-0.08,2.3,36.46
2021,Air Force,76.8,-0.91,1.89,27.96
2021,Akron,75.52,-0.66,1.9,33.63
2021,Alabama,77.69,0.26,1.88,32.95
2021,Alabama A&M,76.44,0.26,0.72,34.73
2021,Alabama St.,75.24,-1.6,1.82,33.49
2021,Albany,77.1,-0.98,2.32,30.89
2021,Alcorn St.,74.93,-1.42,2.14,47.45
2021,American,77.52,0.42,1.63,32
2021,Appalachian St.,76.13,-0.8,1.85,26.15
2021,Arizona,78.65,2.76,1.2,33.38
2021,Arizona St.,76.29,0.46,2.03,34.63
2021,Arkansas,77.89,1.14,1.56,29.93
2021,Arkansas Pine Bluff,75.83,-0.48,2.3,31.63
2021,Arkansas St.,76.1,-0.32,1.4,34.41
2021,Army,75.13,-0.75,1.99,28.19
2021,Auburn,78.73,1.44,0.78,33.47
2021,Austin Peay,74.94,-2.27,1.55,32.12
2021,BYU,77.97,2.47,2,36.45
2021,Ball St.,76.84,-0.16,1.93,35.8
2021,Baylor,76.66,-0.56,2.01,28.57
2021,Bellarmine,76.75,-0.6,2.05,24.73
2021,Belmont,76.95,0.7,1.38,34.12
2021,Bethune Cookman,0,0,0,0
2021,Binghamton,76.8,-1.07,1.23,28.22
2021,Boise St.,78.28,1.3,2.07,29.62
2021,Boston College,76.95,-0.18,1.76,33.86
2021,Boston University,77.39,0.2,1.97,35.1
2021,Bowling Green,76.23,-0.97,1.77,28.07
2021,Bradley,77.27,0.35,1.44,39
2021,Brown,0,0,0,0
2021,Bryant,75.88,-1.17,1.64,23.22
2021,Bucknell,77.75,0.56,1.57,35.7
2021,Buffalo,77.11,0.24,2.2,25.67
2021,Butler,76.6,0.19,1.74,28.92
2021,Cal Baptist,77.26,0.05,1.94,17.55
2021,Cal Poly,76.74,-0.39,1.46,39.01
2021,Cal St. Bakersfield,76.94,-0.79,2.67,40.13
2021,Cal St. Fullerton,77.14,-0.51,1.45,32.47
2021,Cal St. Northridge,76.6,-0.43,1.16,36.57
2021,California,77.48,0.76,1.96,34.54
2021,Campbell,75.42,-0.83,1.81,26.03
2021,Canisius,77.09,0.42,1.83,34.53
2021,Central Arkansas,77.98,-0.08,2.07,32.65
2021,Central Connecticut,75.51,-2.05,1.71,42.76
2021,Central Michigan,77.2,-0.42,2.06,33.31
2021,Charleston,76.89,-0.16,1.96,30.56
2021,Charleston Southern,76.53,-1.14,1.09,34.44
2021,Charlotte,77.49,0.03,1.82,24.92
2021,Chattanooga,77.09,-0.64,2.03,25.42
2021,Chicago St.,75.64,-1.39,1.88,39.92
2021,Cincinnati,77.29,1.15,1.45,34.41
2021,Clemson,76.93,0.6,1.81,37.64
2021,Cleveland St.,76.96,-0.82,2.1,29.25
2021,Coastal Carolina,76.54,-0.13,1.66,28.79
2021,Colgate,76.44,0.31,1.83,33.56
2021,Colorado,77.45,0.38,2.28,30.38
2021,Colorado St.,75.73,-0.76,1.22,27.19
2021,Columbia,0,0,0,0
2021,Connecticut,77.88,1.05,1.8,35.64
